search URL:,https://patents.google.com/?q=force&q=feedback&q=UI&oq=force+feedback+UI+,,,,,,,,,,,
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link,,,
US-2015135109-A1,"Device, Method, and Graphical User Interface for Displaying User Interface Objects Corresponding to an Application ",Apple Inc.,"Nicholas Zambetti, Jeffrey Traer Bernstein",2012-05-09,2014-11-07,2015-05-14,,https://patents.google.com/patent/US20150135109A1/en,https://patentimages.storage.googleapis.com/12/df/92/8368361b89cee6/US20150135109A1-20150514-D00000.png,,,
US-2009167701-A1,Audio and tactile feedback based on visual environment ,Nokia Corporation,Sami P. Ronkainen,2007-12-28,2007-12-28,2009-07-02,,https://patents.google.com/patent/US20090167701A1/en,https://patentimages.storage.googleapis.com/US20090167701A1/US20090167701A1-20090702-D00000.png,,,
US-2006061558-A1,Products and processes for providing multimodal feedback in a user interface device ,"Danny Grant, Christophe Ramstein","Danny Grant, Christophe Ramstein",2004-09-20,2004-09-20,2006-03-23,,https://patents.google.com/patent/US20060061558A1/en,https://patentimages.storage.googleapis.com/US20060061558A1/US20060061558A1-20060323-D00000.png,,,
US-2008280657-A1,Seal and actuator assembly ,Nokia Corporation,"Jani C. Maenpaa, Petteri Kauhanen",2007-05-09,2007-05-09,2008-11-13,,https://patents.google.com/patent/US20080280657A1/en,https://patentimages.storage.googleapis.com/US20080280657A1/US20080280657A1-20081113-D00000.png,,,
US-2012179070-A1,Spinal probe with tactile force feedback and pedicle breach prediction ,Regents Of The University Of Minnesota,"Timothy J. Pommer, David W. Polly, JR., David J. Nuckley, Evan M. Gustafson, Charles Gerald Tan Ledonio, Arthur G. Erdman",2009-06-16,2010-06-15,2012-07-12,,https://patents.google.com/patent/US20120179070A1/en,https://patentimages.storage.googleapis.com/6a/7c/5c/0a926a4df42035/US20120179070A1-20120712-D00000.png,,,
US-6433775-B1,Virtual force feedback interface ,"Monkeymedia, Inc.","Eric Justin Gould, Paulus W. Risnadi, Tina Chia Ho, S. Todd Wilkins",1999-03-25,1999-03-25,2002-08-13,2002-08-13,https://patents.google.com/patent/US6433775B1/en,https://patentimages.storage.googleapis.com/US6433775B1/US06433775-20020813-D00000.png,,,
US-2015143273-A1,"Device, Method, and Graphical User Interface for Determining Whether to Scroll or Select Content ",Apple Inc.,"Jeffrey Traer Bernstein, Julian Missig",2012-12-29,2015-01-29,2015-05-21,,https://patents.google.com/patent/US20150143273A1/en,https://patentimages.storage.googleapis.com/78/94/1b/9f62fb4af3302c/US20150143273A1-20150521-D00000.png,,,
US-2015067605-A1,"Device, Method, and Graphical User Interface for Scrolling Nested Regions ",Apple Inc.,"Nicholas Zambetti, Julian Missig",2012-05-09,2014-11-07,2015-03-05,,https://patents.google.com/patent/US20150067605A1/en,https://patentimages.storage.googleapis.com/a8/37/be/5b104f6267792b/US20150067605A1-20150305-D00000.png,,,
US-2015149964-A1,"Device, Method, and Graphical User Interface for Moving a Cursor According to a Change in an Appearance of a Control Icon with Simulated Three-Dimensional Characteristics ",Apple Inc.,"Jeffrey Traer Bernstein, Avi E. Cieplinski, May-Li Khoe, David J. Hart",2012-12-29,2015-01-29,2015-05-28,,https://patents.google.com/patent/US20150149964A1/en,https://patentimages.storage.googleapis.com/42/df/b7/01c1aca4da7140/US20150149964A1-20150528-D00000.png,,,
US-2015138155-A1,"Device, Method, and Graphical User Interface for Transitioning Between Touch Input to Display Output Relationships ",Apple Inc.,"Jeffrey Traer Bernstein, Julian Missig, Avi E. Cieplinski, David J. Hart, B. Michael Victor",2012-12-29,2015-01-29,2015-05-21,,https://patents.google.com/patent/US20150138155A1/en,https://patentimages.storage.googleapis.com/79/2a/49/0fc8ea6fe5eaf4/US20150138155A1-20150521-D00000.png,,,
US-2015058723-A1,"Device, Method, and Graphical User Interface for Moving a User Interface Object Based on an Intensity of a Press Input ",Apple Inc.,"Avi E. Cieplinski, May-Li Khoe",2012-05-09,2014-11-07,2015-02-26,,https://patents.google.com/patent/US20150058723A1/en,https://patentimages.storage.googleapis.com/ff/69/86/b25243ed734061/US20150058723A1-20150226-D00000.png,,,
US-2015067559-A1,"Device, Method, and Graphical User Interface for Selecting Object within a Group of Objects ",Apple Inc.,"Julian Missig, Matthew I. Brown, Evan Torchin",2012-05-09,2014-11-07,2015-03-05,,https://patents.google.com/patent/US20150067559A1/en,https://patentimages.storage.googleapis.com/8e/63/0e/b45a805d24856e/US20150067559A1-20150305-D00000.png,,,
US-2015067563-A1,"Device, Method, and Graphical User Interface for Moving and Dropping a User Interface Object ",Apple Inc.,"Jeffrey Traer Bernstein, May-Li Khoe",2012-05-09,2014-11-07,2015-03-05,,https://patents.google.com/patent/US20150067563A1/en,https://patentimages.storage.googleapis.com/b8/d4/c3/4796ff7a5059dc/US20150067563A1-20150305-D00000.png,,,
US-2014092025-A1,"Multiple-force, dynamically-adjusted, 3-d touch surface with feedback for human machine interface (hmi) ","Denso International America, Inc.","Silviu Pala, Manabu Miyata",2012-09-28,2012-09-28,2014-04-03,,https://patents.google.com/patent/US20140092025A1/en,https://patentimages.storage.googleapis.com/0b/79/37/82bdc403d03d79/US20140092025A1-20140403-D00000.png,,,
US-2013257817-A1,Method and Apparatus for Force Sensing ,Nokia Corporation,Marko T. Yliaho,2012-03-27,2012-03-27,2013-10-03,,https://patents.google.com/patent/US20130257817A1/en,https://patentimages.storage.googleapis.com/8b/97/45/b990ecf6c6f13d/US20130257817A1-20131003-D00000.png,,,
US-2012293551-A1,User interface elements augmented with force detection ,Qualcomm Incorporated,"Brian Momeyer, Kevin M. Beckwith",2011-05-19,2012-03-09,2012-11-22,,https://patents.google.com/patent/US20120293551A1/en,https://patentimages.storage.googleapis.com/b9/14/17/da8b8febaaa131/US20120293551A1-20121122-D00000.png,,,
EP-0899651-A2,Dynamically relocatable tileable displays ,Xerox Corporation,"Annette M. Adler, Kenneth P. Fishkin, Beverly L. Harrison, Matthew E. Howard, Roy Want",1997-08-29,1998-07-15,1999-03-03,,https://patents.google.com/patent/EP0899651A2/en,https://patentimages.storage.googleapis.com/EP0899651A2/00520001.png,,,
US-6563487-B2,Haptic feedback for directional control pads ,Immersion Corporation,"Kenneth M. Martin, Louis B. Rosenberg",1998-06-23,1999-12-17,2003-05-13,2003-05-13,https://patents.google.com/patent/US6563487B2/en,https://patentimages.storage.googleapis.com/US6563487B2/US06563487-20030513-D00000.png,,,
US-5436637-A,Graphical user interface system and methods for improved user feedback ,"Borland International, Inc.","Charles E. Gayraud, Perry A. Gee",1993-03-05,1993-03-05,1995-07-25,1995-07-25,https://patents.google.com/patent/US5436637A/en,https://patentimages.storage.googleapis.com/pages/US5436637-1.png,,,
US-7148875-B2,Haptic feedback for touchpads and other touch controls ,Immersion Corporation,"Louis B. Rosenberg, James R. Riegel",1998-06-23,2002-08-06,2006-12-12,2006-12-12,https://patents.google.com/patent/US7148875B2/en,https://patentimages.storage.googleapis.com/US7148875B2/US07148875-20061212-D00000.png,,,
US-2009221958-A1,User interface for remote control catheterization ,"Rafael Beyar, Doron Linder, Eyal Zilberberg, Tal Wenderow","Rafael Beyar, Doron Linder, Eyal Zilberberg, Tal Wenderow",2005-05-10,2005-05-10,2009-09-03,,https://patents.google.com/patent/US20090221958A1/en,https://patentimages.storage.googleapis.com/US20090221958A1/US20090221958A1-20090903-D00000.png,,,
US-2005277448-A1,Soft buttons on LCD module with tactile feedback ,"Motorola, Inc.","Julio Castaneda, Donald Burnette, Francis Staszesky",2004-06-10,2004-06-10,2005-12-15,,https://patents.google.com/patent/US20050277448A1/en,https://patentimages.storage.googleapis.com/US20050277448A1/US20050277448A1-20051215-D00000.png,,,
US-2015370376-A1,Force Determination Based on Capacitive Sensing ,Apple Inc.,"Jonah A. Harley, Peter W. Richards, Brian Q. Huppi, Omar Sze Leung, Dhaval N. Shah, Martin P. Grunthaner, Steven P. Hotelling, Miguel C Christophy, Vivek Katiyar, Tang Yew Tan, Christopher J. Butler, Erik G. DE JONG, Ming SARTEE, Rui Qiao, Steven J. MARTISAUSKAS, Storrs T. Hoen, Richard Hung Minh Dinh, Lee E. Hooton, Ian A. Spraggs, Sawyer I. Cohen, David A. PAKULA",2013-02-08,2014-02-06,2015-12-24,,https://patents.google.com/patent/US20150370376A1/en,https://patentimages.storage.googleapis.com/44/80/1f/ad7b735852ea3e/US20150370376A1-20151224-D00000.png,,,
US-7218310-B2,Providing enhanced haptic feedback effects ,Immersion Corporation,"Kollin M. Tierling, Adam C. Braun, Alex Goldenberg",1999-09-28,2001-07-17,2007-05-15,2007-05-15,https://patents.google.com/patent/US7218310B2/en,https://patentimages.storage.googleapis.com/US7218310B2/US07218310-20070515-D00000.png,,,
US-2014344765-A1,Touch Sensitive UI Pinch and Flick Techniques for Managing Active Applications ,Barnesandnoble.Com Llc,"Kourtny M. Hicks, Gerald B. Cueto",2013-05-17,2013-05-17,2014-11-20,,https://patents.google.com/patent/US20140344765A1/en,https://patentimages.storage.googleapis.com/1e/bb/8d/2b087f9877b62a/US20140344765A1-20141120-D00000.png,,,
US-7626569-B2,Movable audio/video communication interface system ,"Graphics Properties Holdings, Inc.",Jaron Lanier,2004-10-25,2005-10-24,2009-12-01,2009-12-01,https://patents.google.com/patent/US7626569B2/en,https://patentimages.storage.googleapis.com/US7626569B2/US07626569-20091201-D00000.png,,,
US-6347018-B1,Digital servo control system for use in disk drives ,Rodime Plc,"Ronald James Kadlec, Thomas James Frederick, Paul Henry Kelley, Philip Saxton Weilbacher",1990-09-18,1999-05-03,2002-02-12,2002-02-12,https://patents.google.com/patent/US6347018B1/en,https://patentimages.storage.googleapis.com/US6347018B1/US06347018-20020212-D00000.png,,,
US-2016103544-A1,Force Determination Employing Sheet Sensor and Capacitive Array ,Apple Inc.,"Sinan Filiz, Martin P. Grunthaner, John Stephen Smith, Charley T. Ogata, Christian M. Sauer, Shin John Choi, Christopher J. Butler, Steven J. MARTISAUSKAS",2014-02-12,2015-12-16,2016-04-14,,https://patents.google.com/patent/US20160103544A1/en,https://patentimages.storage.googleapis.com/9d/cd/e5/102c444b712ac4/US20160103544A1-20160414-D00000.png,,,
US-2014082490-A1,User terminal apparatus for providing local feedback and method thereof ,"Samsung Electronics Co., Ltd.","Ji-Hyun Jung, Jun-Ho Koh, Chang-Soo Lee",2012-09-18,2013-09-17,2014-03-20,,https://patents.google.com/patent/US20140082490A1/en,https://patentimages.storage.googleapis.com/07/ff/13/9c5fb0db152b8f/US20140082490A1-20140320-D00000.png,,,
US-6005570-A,Graphical user interface system and methods for improved user feedback ,Inprise Corporation,"Charles Edouard Gayraud, Perry Alvin Gee",1993-03-05,1997-10-20,1999-12-21,1999-12-21,https://patents.google.com/patent/US6005570A/en,https://patentimages.storage.googleapis.com/pages/US6005570-1.png,,,
US-2017075520-A1,"Devices, Methods, and Graphical User Interfaces for Manipulating User Interface Objects with Visual and/or Haptic Feedback ",Apple Inc.,"Sebastian J. Bauer, Marcos Alonso Ruiz, Jonathan R. DASCOLA, Christopher P. FOSS, Stefan Hafeneger, Chanaka G. Karunamini, Kenneth L. Kocienda",2015-08-10,2016-09-21,2017-03-16,,https://patents.google.com/patent/US20170075520A1/en,https://patentimages.storage.googleapis.com/48/c7/e7/df1d46bc3ee8f4/US20170075520A1-20170316-D00000.png,,,
US-6686901-B2,Enhancing inertial tactile feedback in computer interface devices having increased mass ,Immersion Corporation,Louis B. Rosenberg,1998-06-23,2001-01-26,2004-02-03,2004-02-03,https://patents.google.com/patent/US6686901B2/en,https://patentimages.storage.googleapis.com/US6686901B2/US06686901-20040203-D00000.png,,,
US-8264465-B2,Haptic feedback for button and scrolling action simulation in touch input devices ,Immersion Corporation,"Danny A. Grant, Pedro Gregorio, Robert W. Heubel, Christophe Ramstein",2004-10-08,2005-10-11,2012-09-11,2012-09-11,https://patents.google.com/patent/US8264465B2/en,https://patentimages.storage.googleapis.com/6f/1d/6e/373860fcbec851/US08264465-20120911-D00000.png,,,
US-2011310002-A1,Free space directional force feedback apparatus ,Microsoft Corporation,"Erik Tidemand, Clayton Chang, Muneeb Iqbal Karim, Kent Huntsman, Alex Garden",2010-06-22,2010-06-22,2011-12-22,,https://patents.google.com/patent/US20110310002A1/en,https://patentimages.storage.googleapis.com/51/db/21/e8926f1fe0c8fa/US20110310002A1-20111222-D00001.png,,,
US-6356829-B1,Unified control of a work implement ,Case Corporation,"Zhejun Fan, Alan D. Berger",1999-08-02,1999-08-02,2002-03-12,2002-03-12,https://patents.google.com/patent/US6356829B1/en,https://patentimages.storage.googleapis.com/US6356829B1/US06356829-20020312-D00000.png,,,
WO-2007049253-A2,Display system with a haptic feedback via interaction with physical objects ,"Koninklijke Philips Electronics N.V., U.S. Philips Corporation","De Wijdeven Sander B.F. Van, Vincent P. Buil, Gerrit Hollemans",2005-10-28,2006-10-27,2007-05-03,,https://patents.google.com/patent/WO2007049253A2/en,,,,
US-6823497-B2,Method and user interface for debugging an electronic system ,"Synplicity, Inc.","Nils Endric Schubert, John Mark Beardslee, Gernot Heinrich Koch, Olaf Poeppe",1999-11-30,2002-07-31,2004-11-23,2004-11-23,https://patents.google.com/patent/US6823497B2/en,https://patentimages.storage.googleapis.com/US6823497B2/US06823497-20041123-D00000.png,,,
US-2014333564-A1,Haptic transmission method and mobile terminal for same ,Lg Electronics Inc.,"Hyunsun Hong, Sora Kang, Jaebong Lee, Munchae Joung",2011-12-15,2011-12-15,2014-11-13,,https://patents.google.com/patent/US20140333564A1/en,https://patentimages.storage.googleapis.com/ec/ed/a0/742d5b153f3083/US20140333564A1-20141113-D00000.png,,,
JP-2011154559-A,Haptic feedback device and haptic feedback method ,"Kyocera Corp, ‰∫¨„Çª?©Ê†™Âºè‰ºöÁ§?,Kenta Kinoshita"," ?•Â§™ ?®‰∏ã""",2010-01-27,2010-01-27,2011-08-11,,https://patents.google.com/patent/JP2011154559A/en,https://patentimages.storage.googleapis.com/JP2011154559A/2011154559.png,,,
US-6703550-B2,Sound data output and manipulation using haptic feedback ,Immersion Corporation,Lonny L. Chu,2001-10-10,2001-10-10,2004-03-09,2004-03-09,https://patents.google.com/patent/US6703550B2/en,https://patentimages.storage.googleapis.com/US6703550B2/US06703550-20040309-D00000.png,,,
US-7336266-B2,Haptic pads for use with user-interface devices ,Immersion Corproation,"Vincent Hayward, Ramon Alarcon, Louis B. Rosenberg",2003-02-20,2003-02-20,2008-02-26,2008-02-26,https://patents.google.com/patent/US7336266B2/en,https://patentimages.storage.googleapis.com/US7336266B2/US07336266-20080226-D00000.png,,,
US-2009303187-A1,System and method for a thumb-optimized touch-screen user interface ,Matt Pallakoff,Matt Pallakoff,2005-07-22,2006-07-21,2009-12-10,,https://patents.google.com/patent/US20090303187A1/en,https://patentimages.storage.googleapis.com/US20090303187A1/US20090303187A1-20091210-D00000.png,,,
US-8144129-B2,Flexible touch sensing circuits ,Apple Inc.,"Steve Porter Hotelling, Wayne Carl Westerman",2007-01-05,2007-06-13,2012-03-27,2012-03-27,https://patents.google.com/patent/US8144129B2/en,https://patentimages.storage.googleapis.com/11/af/72/acef238a22f91b/US08144129-20120327-D00000.png,,,
US-7116310-B1,Application programming interface that maps input device controls to software actions ,Microsoft Corporation,"C. Shane Evans, Marcus J. Andrews, Om K. Sharma, James E. Veres, John M. Thornton",1999-04-06,2001-05-14,2006-10-03,2006-10-03,https://patents.google.com/patent/US7116310B1/en,https://patentimages.storage.googleapis.com/US7116310B1/US07116310-20061003-D00000.png,,,
US-2010045816-A1,User Feedback in Connection with Object Recognition ,Rhoads Geoffrey B,Geoffrey B. Rhoads,1999-05-19,2009-11-02,2010-02-25,,https://patents.google.com/patent/US20100045816A1/en,https://patentimages.storage.googleapis.com/US20100045816A1/US20100045816A1-20100225-D00000.png,,,
US-2011050591-A1,Touch-Screen User Interface ,"Kim John T, Hebenstreit Joseph J, Christopher Green, Keller Kevin E","John T. Kim, Joseph J. Hebenstreit, Christopher Green, Kevin E. Keller",2009-09-02,2009-09-02,2011-03-03,,https://patents.google.com/patent/US20110050591A1/en,https://patentimages.storage.googleapis.com/US20110050591A1/US20110050591A1-20110303-D00000.png,,,
US-2011161912-A1,System for creation and distribution of software applications usable on multiple mobile device platforms ,"Qualzoom, Inc.","Isaac Eshagh Eteminan, Marco Carosi, Harish Shanthikumar",2009-12-30,2009-12-30,2011-06-30,,https://patents.google.com/patent/US20110161912A1/en,https://patentimages.storage.googleapis.com/US20110161912A1/US20110161912A1-20110630-D00000.png,,,
US-2011050594-A1,Touch-Screen User Interface ,"Kim John T, Christopher Green, Hebenstreit Joseph J, Keller Kevin E","John T. Kim, Christopher Green, Joseph J. Hebenstreit, Kevin E. Keller",2009-09-02,2009-09-02,2011-03-03,,https://patents.google.com/patent/US20110050594A1/en,https://patentimages.storage.googleapis.com/US20110050594A1/US20110050594A1-20110303-D00000.png,,,
US-2012235912-A1,Input Device User Interface Enhancements ,Kevin Laubach,Kevin Laubach,2011-03-17,2012-03-18,2012-09-20,,https://patents.google.com/patent/US20120235912A1/en,https://patentimages.storage.googleapis.com/33/d7/85/c9fcd237b2e6a0/US20120235912A1-20120920-D00000.png,,,
US-2015135108-A1,"Device, method, and graphical user interface for manipulating user interfaces based on fingerprint sensor inputs ",Apple Inc.,"Benjamin J. Pope, Daniel W. Jarvis, Nicholas G. Merz, Scott A. Myers, Michael A. Cretella, Michael Eng, James H. Foster, Terry L. Gilton, Myra Haggerty, Byron B. Han, M. Evans Hankey, Steven P. Hotelling, Brian R. Land, Stephen Brian Llynch, Paul Meade, Mushtaq A. Sarwar, John P. Ternus, Paul M. Thompson, Marcel van Os, John A. Wright",2012-05-18,2013-05-20,2015-05-14,,https://patents.google.com/patent/US20150135108A1/en,https://patentimages.storage.googleapis.com/1c/47/63/cd25333c5045ff/US20150135108A1-20150514-D00000.png,,,
US-2011289455-A1,Gestures And Gesture Recognition For Manipulating A User-Interface ,Microsoft Corporation,"Brendan Reville, Ali Vassigh, Arjun Dayal, Christian Klein, Adam Poulos, Andy Mattingly",2010-05-18,2010-05-18,2011-11-24,,https://patents.google.com/patent/US20110289455A1/en,https://patentimages.storage.googleapis.com/c9/09/3c/956f498d8fcc84/US20110289455A1-20111124-D00001.png,,,
US-2015074615-A1,"Device, method, and graphical user interface for manipulating user interfaces based on fingerprint sensor inputs ",Apple Inc.,"Byron Han, Matthew E. Shepherd, Imran Chaudhri, Gregory N. Christie, Patrick L. Coffman, Craig M. Federighi, Matthew H. GAMBLE, Brittany D. Hughes, Brendan J. LANGOULANT, Craig A. Marciniak, Donald W. Pitschel, Daniel O. SCHIMPF, Andrew R. Whalley, Christopher R. WHITNEY, Jonathan R. DASCOLA, Lawrence Y. YANG",2013-09-09,2014-09-08,2015-03-12,,https://patents.google.com/patent/US20150074615A1/en,https://patentimages.storage.googleapis.com/a8/e3/da/2fb810f665fe3e/US20150074615A1-20150312-D00000.png,,,
US-2009227925-A1,Powered Orthotic Device and Method of Using Same ,"Mcbean John M, Kailas Narendran","John M. McBean, Kailas Narendran",2006-09-19,2009-03-18,2009-09-10,,https://patents.google.com/patent/US20090227925A1/en,https://patentimages.storage.googleapis.com/US20090227925A1/US20090227925A1-20090910-D00000.png,,,
US-2010079264-A1,Haptic feedback system ,Apple Inc.,Quin C. Hoellwarth,2008-09-29,2008-09-29,2010-04-01,,https://patents.google.com/patent/US20100079264A1/en,https://patentimages.storage.googleapis.com/US20100079264A1/US20100079264A1-20100401-D00000.png,,,
US-2010088532-A1,Method and handheld electronic device having a graphic user interface with efficient orientation sensor use ,Research In Motion Limited,"Stuart Coleman Edmond POLLOCK, Matthew Bells",2008-10-07,2009-10-07,2010-04-08,,https://patents.google.com/patent/US20100088532A1/en,https://patentimages.storage.googleapis.com/US20100088532A1/US20100088532A1-20100408-D00000.png,,,
US-7831292-B2,Guidance system and method for surgical procedures with improved feedback ,Mako Surgical Corp.,"Arthur E. Quaid, Rony A. Abovitz",2002-03-06,2003-07-16,2010-11-09,2010-11-09,https://patents.google.com/patent/US7831292B2/en,https://patentimages.storage.googleapis.com/US7831292B2/US07831292-20101109-D00000.png,,,
US-7062458-B2,User Interface for a financial advisory system that allows an end user to interactively explore tradeoffs among input decisions ,Financial Engines,"Jeff N. Maggioncalda, Christopher L. Jones, William F. Sharpe, Ken Fine, Ellen Tauber",1997-12-02,2001-07-12,2006-06-13,2006-06-13,https://patents.google.com/patent/US7062458B2/en,https://patentimages.storage.googleapis.com/US7062458B2/US07062458-20060613-D00000.png,,,
US-6581046-B1,Neuronal phase-locked loops ,Yeda Research And Development Co. Ltd.,Ehud Ahissar,1997-10-10,1998-10-09,2003-06-17,2003-06-17,https://patents.google.com/patent/US6581046B1/en,https://patentimages.storage.googleapis.com/US6581046B1/US06581046-20030617-D00000.png,,,
US-7472422-B1,Security management system including feedback and control ,Symantec Corporation,Paul M. Agbabian,2003-09-10,2003-09-10,2008-12-30,2008-12-30,https://patents.google.com/patent/US7472422B1/en,https://patentimages.storage.googleapis.com/US7472422B1/US07472422-20081230-D00000.png,,,
US-6330483-B1,Optimal control system ,The Boeing Company,Russell L. Dailey,1999-05-07,1999-05-07,2001-12-11,2001-12-11,https://patents.google.com/patent/US6330483B1/en,https://patentimages.storage.googleapis.com/US6330483B1/US06330483-20011211-D00000.png,,,
US-6714936-B1,Method and apparatus for displaying data stored in linked nodes ,"Nevin, Iii Rocky Harry W.","Rocky Harry W. Nevin, III",1999-05-25,2000-05-24,2004-03-30,2004-03-30,https://patents.google.com/patent/US6714936B1/en,https://patentimages.storage.googleapis.com/US6714936B1/US06714936-20040330-D00000.png,,,
US-2012192096-A1,Active command line driven user interface ,Research In Motion Limited,"Gordon Gregory Bowman, Ngoc Bich Ngo",2011-01-25,2011-01-25,2012-07-26,,https://patents.google.com/patent/US20120192096A1/en,https://patentimages.storage.googleapis.com/11/8b/53/be0898ae3d4677/US20120192096A1-20120726-D00000.png,,,
US-6611789-B1,Monitoring activity of a user in locomotion on foot ,"Personal Electric Devices, Inc.",Jesse Darley,1997-10-02,2000-08-21,2003-08-26,2003-08-26,https://patents.google.com/patent/US6611789B1/en,https://patentimages.storage.googleapis.com/US6611789B1/US06611789-20030826-D00000.png,,,
US-6898550-B1,Monitoring activity of a user in locomotion on foot ,"Fitsense Technology, Inc.","Thomas P. Blackadar, Jesse Darley",1997-10-02,2000-08-21,2005-05-24,2005-05-24,https://patents.google.com/patent/US6898550B1/en,https://patentimages.storage.googleapis.com/US6898550B1/US06898550-20050524-D00000.png,,,
US-7653883-B2,Proximity detector in handheld device ,Apple Inc.,"Steve P. Hotelling, Duncan Robert Kerr, Bas Ording, Jonathan P. Ive, Peter J. Kennedy, Anthony M. Fadell, Jeffrey L. Robbin",2004-07-30,2005-09-30,2010-01-26,2010-01-26,https://patents.google.com/patent/US7653883B2/en,https://patentimages.storage.googleapis.com/US7653883B2/US07653883-20100126-D00000.png,,,
US-8479122-B2,Gestures for touch sensitive input devices ,Apple Inc.,"Steve Hotelling, Joshua A. Strickon, Brian Q. Huppi, Imran Chaudhri, Greg Christie, Bas Ording, Duncan Robert Kerr, Jonathan P. Ive",2004-07-30,2004-07-30,2013-07-02,2013-07-02,https://patents.google.com/patent/US8479122B2/en,https://patentimages.storage.googleapis.com/d6/07/51/da7eb990bc56b9/US08479122-20130702-D00000.png,,,
US-6493652-B1,Monitoring activity of a user in locomotion on foot ,"Personal Electronic Devices, Inc.","Norbert Ohlenbusch, Jesse Darley, Thomas P. Blackadar, Paul J. Gaudet",1997-10-02,2000-08-21,2002-12-10,2002-12-10,https://patents.google.com/patent/US6493652B1/en,https://patentimages.storage.googleapis.com/US6493652B1/US06493652-20021210-D00000.png,,,
US-9168054-B2,Surgical generator for ultrasonic and electrosurgical devices ,"Ethicon Endo-Surgery, Inc.","Douglas J. Turner, Jeffrey L. Aldridge, Vincent P. Battaglia, JR.",2009-10-09,2012-04-16,2015-10-27,2015-10-27,https://patents.google.com/patent/US9168054B2/en,https://patentimages.storage.googleapis.com/fc/07/8e/cc153613223684/US09168054-20151027-D00000.png,,,
US-8381135-B2,Proximity detector in handheld device ,Apple Inc.,"Steve P. Hotelling, Brian Q. Huppi, Joshua A. Strickon, Duncan Robert Kerr, Bas Ording, Imran Chaudhri, Greg Christie, Jonathan P. Ive, Peter J. Kennedy, Anthony M. Fadell, Jeffrey L. Robbin",2004-07-30,2005-09-30,2013-02-19,2013-02-19,https://patents.google.com/patent/US8381135B2/en,https://patentimages.storage.googleapis.com/22/07/0a/e513a2f22eeb89/US08381135-20130219-D00000.png,,,
US-6878755-B2,Automated microfabrication-based biodetector ,"Microgen Systems, Inc.","Angad Singh, Shahzi S. Iqbal",2001-01-22,2001-01-22,2005-04-12,2005-04-12,https://patents.google.com/patent/US6878755B2/en,https://patentimages.storage.googleapis.com/US6878755B2/US06878755-20050412-D00000.png,,,
US-6882955-B1,Monitoring activity of a user in locomotion on foot ,"Fitsense Technology, Inc.","Norbert Ohlenbusch, Jesse Darley",1997-10-02,2000-08-21,2005-04-19,2005-04-19,https://patents.google.com/patent/US6882955B1/en,https://patentimages.storage.googleapis.com/US6882955B1/US06882955-20050419-D00000.png,,,
US-2015205351-A1,External user interface for head worn computing ,"Osterhout Group, Inc.","Ralph F. Osterhout, John D. Haddick",2014-01-17,2015-03-02,2015-07-23,,https://patents.google.com/patent/US20150205351A1/en,https://patentimages.storage.googleapis.com/cf/0b/d7/5b575470738ed9/US20150205351A1-20150723-D00000.png,,,
US-5850446-A,"System, method and article of manufacture for virtual point of sale processing utilizing an extensible, flexible architecture ","Verifone, Inc.","David A. Berger, Jay C. Weber, Vilas I. Madapurmath",1996-06-17,1996-06-17,1998-12-15,1998-12-15,https://patents.google.com/patent/US5850446A/en,https://patentimages.storage.googleapis.com/pages/US5850446-10.png,,,
US-5943424-A,"System, method and article of manufacture for processing a plurality of transactions from a single initiation point on a multichannel, extensible, flexible architecture ",Hewlett-Packard Company,"David A. Berger, Jay C. Weber, Glenn A. Kramer",1996-06-17,1996-06-17,1999-08-24,1999-08-24,https://patents.google.com/patent/US5943424A/en,https://patentimages.storage.googleapis.com/pages/US5943424-10.png,,,
US-6072870-A,"System, method and article of manufacture for a gateway payment architecture utilizing a multichannel, extensible, flexible architecture ",Verifone Inc.,"Trong Nguyen, Daniel R. Haller, Glenn A. Kramer",1996-06-17,1996-06-17,2000-06-06,2000-06-06,https://patents.google.com/patent/US6072870A/en,https://patentimages.storage.googleapis.com/pages/US6072870-10.png,,,
US-6002767-A,"System, method and article of manufacture for a modular gateway server architecture ","Verifone, Inc.",Glenn A. Kramer,1996-06-17,1996-06-17,1999-12-14,1999-12-14,https://patents.google.com/patent/US6002767A/en,https://patentimages.storage.googleapis.com/pages/US6002767-10.png,,,
US-5889863-A,"System, method and article of manufacture for remote virtual point of sale processing utilizing a multichannel, extensible, flexible architecture ","Verifone, Inc.",Jay C. Weber,1996-06-17,1996-06-17,1999-03-30,1999-03-30,https://patents.google.com/patent/US5889863A/en,https://patentimages.storage.googleapis.com/pages/US5889863-10.png,,,
US-5812668-A,"System, method and article of manufacture for verifying the operation of a remote transaction clearance system utilizing a multichannel, extensible, flexible architecture ","Verifone, Inc.",Jay C. Weber,1996-06-17,1996-06-17,1998-09-22,1998-09-22,https://patents.google.com/patent/US5812668A/en,https://patentimages.storage.googleapis.com/pages/US5812668-10.png,,,
US-6119105-A,"System, method and article of manufacture for initiation of software distribution from a point of certificate creation utilizing an extensible, flexible architecture ","Verifone, Inc.",Humphrey Williams,1996-06-17,1996-06-17,2000-09-12,2000-09-12,https://patents.google.com/patent/US6119105A/en,https://patentimages.storage.googleapis.com/pages/US6119105-10.png,,,
